1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80		
10	2012	85	302	51.51	0.13	8199.55	8	1	0	0	0.1713	0.1185	0.0436	0.1742	0.3796	0.063	0.0498	0	0	0	10	8	8	-999	-999	-999	-999	-999	34.176	38.108	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Enfield
11	2012	85	302	51.51	0.13	4786.893	8	1	0	0	0.227	0.1476	0.0371	0.1483	0.3094	0.1139	0.0167	0	0	0	10	8	8	-999	-999	-999	-999	-999	46.569	53.178	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Greenwich
12	2012	85	302	51.51	0.13	1905.794	8	1	0	0	0.2672	0.2389	0.0268	0.1072	0.2187	0.1194	0.0218	0	0	0	10	8	8	-999	-999	-999	-999	-999	121.349	129.222	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Hackney
13	2012	85	302	51.51	0.13	1758.107	8	1	0	0	0.262	0.251	0.0232	0.0927	0.186	0.1177	0.0674	0	0	0	10	8	8	-999	-999	-999	-999	-999	118.004	103.801	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	HammersmithandFulham
14	2012	85	302	51.51	0.13	2955.552	8	1	0	0	0.27	0.2171	0.0333	0.1333	0.2614	0.0774	0.0075	0	0	0	10	8	8	-999	-999	-999	-999	-999	71.587	86.253	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Haringey
15	2012	85	302	51.51	0.13	5043.446	8	1	0	0	0.2302	0.1374	0.0443	0.1774	0.3498	0.0573	0.0037	0	0	0	10	8	8	-999	-999	-999	-999	-999	39.412	47.399	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Harrow
16	2012	85	302	51.51	0.13	11224.524	8	1	0	0	0.1386	0.0804	0.0512	0.2048	0.4637	0.047	0.0142	0	0	0	10	8	8	-999	-999	-999	-999	-999	18.612	21.135	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Havering
17	2012	85	302	51.51	0.13	11557.642	8	1	0	0	0.1518	0.0936	0.044	0.176	0.3931	0.1113	0.0301	0	0	0	10	8	8	-999	-999	-999	-999	-999	26.707	23.702	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Hillingdon
18	2012	85	302	51.51	0.13	5670.725	8	1	0	0	0.197	0.1381	0.0395	0.1579	0.3387	0.0964	0.0324	0	0	0	10	8	8	-999	-999	-999	-999	-999	45.111	44.784	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Hounslow
19	2012	85	302	51.51	0.13	1483.822	8	1	0	0	0.3165	0.2946	0.0204	0.0816	0.15	0.1343	0.0027	0	0	0	10	8	8	-999	-999	-999	-999	-999	179.791	138.915	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Islington
20	2012	85	302	51.51	0.13	1236.66	8	1	0	0	0.3119	0.3127	0.0208	0.0832	0.1607	0.086	0.0247	0	0	0	10	8	8	-999	-999	-999	-999	-999	156.716	128.288	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	KensingtonandChelsea
21	2012	85	302	51.51	0.13	3723.736	8	1	0	0	0.2197	0.142	0.0432	0.1728	0.3492	0.0658	0.0073	0	0	0	10	8	8	-999	-999	-999	-999	-999	40.432	42.984	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	KingstonuponThames
22	2012	85	302	51.51	0.13	2698.096	8	1	0	0	0.2923	0.2498	0.0275	0.11	0.204	0.1074	0.0092	0	0	0	10	8	8	-999	-999	-999	-999	-999	101.612	112.333	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Lambeth
23	2012	85	302	51.51	0.13	3521.874	8	1	0	0	0.2859	0.194	0.0342	0.1366	0.2568	0.0885	0.004	0	0	0	10	8	8	-999	-999	-999	-999	-999	62.069	78.335	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Lewisham
24	2012	85	302	51.51	0.13	3751.796	8	1	0	0	0.2244	0.1621	0.0397	0.1586	0.3241	0.0837	0.0074	0	0	0	10	8	8	-999	-999	-999	-999	-999	45.328	53.226	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Merton
25	2012	85	302	51.51	0.13	3681.606	8	1	0	0	0.2378	0.1911	0.0262	0.1048	0.2172	0.1691	0.0539	0	0	0	10	8	8	-999	-999	-999	-999	-999	75.901	83.655	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Newham
26	2012	85	302	51.51	0.13	5652.488	8	1	0	0	0.2146	0.1348	0.0438	0.1752	0.3654	0.0541	0.0121	0	0	0	10	8	8	-999	-999	-999	-999	-999	41.225	49.353	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Redbridge
27	2012	85	302	51.51	0.13	5855.279	8	1	0	0	0.1596	0.1065	0.0455	0.182	0.4061	0.0547	0.0456	0	0	0	10	8	8	-999	-999	-999	-999	-999	28.374	31.935	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	RichmonduponThames
28	2012	85	302	51.51	0.13	2920.232	8	1	0	0	0.2578	0.2178	0.0274	0.1094	0.2268	0.1407	0.0202	0	0	0	10	8	8	-999	-999	-999	-999	-999	111.119	98.719	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Southwark
29	2012	85	302	51.51	0.13	4401.029	8	1	0	0	0.2253	0.1455	0.0425	0.1701	0.332	0.0796	0.0051	0	0	0	10	8	8	-999	-999	-999	-999	-999	37.423	43.205	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Sutton
30	2012	85	302	51.51	0.13	2467.695	8	1	0	0	0.2247	0.1919	0.0146	0.0583	0.1269	0.1614	0.2223	0	0	0	10	8	8	-999	-999	-999	-999	-999	149.208	102.969	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	TowerHamlets
31	2012	85	302	51.51	0.13	3878.33	8	1	0	0	0.2208	0.1706	0.0358	0.1434	0.2934	0.0782	0.0578	0	0	0	10	8	8	-999	-999	-999	-999	-999	55.795	66.588	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	WalthamForest
32	2012	85	302	51.51	0.13	3485.066	8	1	0	0	0.2625	0.212	0.0311	0.1244	0.2536	0.099	0.0175	0	0	0	10	8	8	-999	-999	-999	-999	-999	70.640	88.089	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Wandsworth
33	2012	85	302	51.51	0.13	2221.56	8	1	0	0	0.2919	0.3013	0.0191	0.0764	0.171	0.0887	0.0517	0	0	0	10	8	8	-999	-999	-999	-999	-999	310.400	98.758	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Westminster
-9																																																																																	
-9																																																																																	
																																																																																	
																																																																																	
!	1	Grid 	Grid			[GGGGG]																																																																											
!	2	Year	Year			[YYYY]																																																																											
!	3	StartDLS	Start of the day light savings			[DOY]																																																																											
!	4	EndDLS	End of the day light savings			[DOY]																																																																											
!	5	lat	Latitude			[decimal degrees]																																																																											
!	6	lng	Longitude			[decimal degrees]																																																																											
!	7	SurfaceArea	SurfaceArea			[ha]																																																																											
!	8	Alt	Altitude			[m]																																																																											
!	9	id	Day			[DOY]		"Not currently implemented, set to 1"																																																																									
!	10	ih	Hour					"Not currently implemented, set to 0"																																																																									
!	11	imin	Minute					"Not currently implemented, set to 0"																																																																									
!	12	Fr_Paved	Surface cover fraction																																																																														
!	13	Fr_Bldgs	Surface cover fraction																																																																														
!	14	Fr_EveTr	Surface cover fraction																																																																														
!	15	Fr_DecTr	Surface cover fraction																																																																														
!	16	Fr_Grass	Surface cover fraction																																																																														
!	17	Fr_Bsoil	Surface cover fraction																																																																														
!	18	Fr_Water	Surface cover fraction																																																																														
!	19	IrrFr_EveTr	Fraction of evergreen trees that are irrigated																																																																														
!	20	IrrFr_DecTr	Fraction of deciduous trees that are irrigated																																																																														
!	21	IrrFr_Grass	Fraction of grass that is irrigated																																																																														
!	22	H_Bldgs	Mean building height			[m]																																																																											
!	23	H_EveTr	Mean evergreen tree height			[m]																																																																											
!	24	H_DecTr	Mean deciduous tree height			[m]																																																																											
!	25	z0	Roughness length for momentum			[m]																																																																											
!	26	zd	Zero-plane displacement			[m]																																																																											
!	27	FAI_Bldgs	Frontal area index for buildings																																																																														
!	28	FAI_EveTr	Frontal area index for evergreen trees																																																																														
!	29	FAI_DecTr	Frontal area index for deciduous trees																																																																														
!	30	PopDensDay	"Daytime population density (i.e. workers, tourists)"			[no. people ha-1]																																																																											
!	31	PopDensNight	Night-time population density (i.e. residents)			[no. people ha-1]																																																																											
!	32	Code_Paved	Code for Paved surface characteristics					"Links to SUEWS_NonVeg, col. 1"																																																																									
!	33	Code_Bldgs	Code for Bldgs surface characteristics					"Links to SUEWS_NonVeg, col. 1"																																																																									
!	34	Code_EveTr	Code for EveTr surface characteristics					"Code linking to SUEWS_Veg, col. 1"																																																																									
!	35	Code_DecTr	Code for DecTr surface characteristics					"Code linking to SUEWS_Veg, col. 1"																																																																									
!	36	Code_Grass	Code for Grass surface characteristics					"Code linking to SUEWS_Veg, col. 1"																																																																									
!	37	Code_Bsoil	Code for BSoil surface characteristics					"Code linking to SUEWS_Veg, col. 1"																																																																									
!	38	Code_Water	Code for Water surface characteristics					"Code linking to SUEWS_Water, col. 1"																																																																									
!	39	LUMPS_DrRate	Drainage rate of bucket for LUMPS			[mm h-1]																																																																											
!	40	LUMPS_Cover	Limit when surface totally covered with water			[mm]																																																																											
!	41	LUMPS_MaxRes	Maximum water bucket reservoir			[mm]																																																																											
!	42	NARP_Trans	Atmospheric transmissivity for NARP																																																																														
!	43	CondCode	Code for surface conductance parameters					"Links to SUEWS_Conductance, col. 1"																																																																									
!	44	SnowCode	Code for snow surface characteristics					"Links to SUEWS_Snow, col. 1"																																																																									
!	45	SnowClearingProfWD	Code for snow clearing profile (weekdays)					"Links to SUEWS_Profiles, col. 1"																																																																									
!	46	SnowClearingProfWE	Code for snow clearing profile (weekends)					"Links to SUEWS_Profiles, col. 1"																																																																									
!	47	AnthropogenicCode	Code for modelling anthropogenic heat flux					"Links to SUEWS_Anthropogenic, col.1 "																																																																									
!	48	EnergyUseProfWD	Code for energy use profile (weekdays)					"Links to SUEWS_Profiles, col. 1"																																																																									
!	49	EnergyUseProfWE	Code for energy use profile (weekends)					"Links to SUEWS_Profiles, col. 1"																																																																									
!	50	IrrigationCode	Code for modelling irrigation					"Links to SUEWS_Irrigation, col. 1"																																																																									
!	51	WaterUseProfManuWD	"Code for water use profile (manual irrigation, weekdays)"					"Links to SUEWS_Profiles, col. 1"																																																																									
!	52	WaterUseProfManuWE	"Code for water use profile (manual irrigation, weekends)"					"Links to SUEWS_Profiles, col. 1"																																																																									
!	53	WaterUseProfAutoWD	"Code for water use profile (automatic irrigation, weekdays)"					"Links to SUEWS_Profiles, col. 1"																																																																									
!	54	WaterUseProfAutoWE	"Code for water use profile (automatic irrigation, weekends)"					"Links to SUEWS_Profiles, col. 1"																																																																									
!	55	FlowChange	Difference in input and output flows for water surface			[mm h-1]																																																																											
!	56	RunoffToWater	Fraction of above-ground runoff flowing to water surface during flooding																																																																														
!	57	PipeCapacity	Storage capacity of pipes			[mm]																																																																											
!	58	GridConnection1of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	59	Fraction1of8	Fraction of water that can flow to the grid in col. 54 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	60	GridConnection2of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	61	Fraction2of8	Fraction of water that can flow to the grid in col. 56					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	62	GridConnection3of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	63	Fraction3of8	Fraction of water that can flow to the grid in col. 58					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	64	GridConnection4of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	65	Fraction4of8	Fraction of water that can flow to the grid in col. 60					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	66	GridConnection5of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	67	Fraction5of8	Fraction of water that can flow to the grid in col. 62					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	68	GridConnection6of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	69	Fraction6of8	Fraction of water that can flow to the grid in col. 64					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	70	GridConnection7of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	71	Fraction7of8	Fraction of water that can flow to the grid in col. 66					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	72	GridConnection8of8	Number of the grid where water can flow to 					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	73	Fraction8of8	Fraction of water that can flow to the grid in col. 68					Set to 0 if no connectivity between grids or run is only for a single grid																																																																									
!	74	WithinGridPavedCode	Code that links to fraction of water that flows from Paved surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	75	WithinGridBldgsCode	Code that links to fraction of water that flows from Built surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	76	WithinGridEveTrCode	Code that links to fraction of water that flows from EveTr surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	77	WithinGridDecTrCode	Code that links to fraction of water that flows from DecTr surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	78	WithinGridGrassCode	Code that links to fraction of water that flows from Grass surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	79	WithinGridBSoilCode	Code that links to fraction of water that flows from BSoil surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
!	80	WithinGridWaterCode	Code that links to fraction of water that flows from Water surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist					"Links to SUEWS_WithinGridWaterDist, col. 1"																																																																									
